Month,Daily_Return
1,0.00011753150660201486
2,0.0016671195625794076
3,0.0032338086399695816
4,0.0033707558911820704
5,0.0005804262926938827
6,7.661617532984705e-05
7,-0.0005962941428398092
8,-2.7332719329273937e-05
9,6.620554888611642e-05
10,0.0023229881209848244
11,0.001901248912814927
12,0.0008471807499953976
