Date,Return
2019-06-20,0.08181475604258037
2020-03-11,-0.07945657605727108
2020-03-12,-0.11001793044148811
2020-03-13,0.20427138753673213
2020-03-16,-0.10870016798038806
2020-03-17,0.09691009530313632
2020-03-18,0.008749463125733214
2020-03-19,-0.04654116229394123
2020-03-20,0.01286891135970647
2020-03-23,-0.03198253779558491
2020-03-24,0.08259790991875726
2020-03-25,-0.03971575083233214
2020-03-26,0.09882457664872124
2020-03-31,-0.04030974493037642
2020-04-06,0.04230769408970603
2020-04-09,0.020141937762260476
2021-12-10,0.15613384177630385
2021-12-17,-0.06394108114772334
2022-06-14,0.10413735911230781
2023-06-12,0.05989988095088439
2023-06-13,0.0021472129120048145
2023-06-14,0.0479087789104391
2023-06-15,0.035004551616907964
2023-09-12,-0.13495382051673122
2023-12-12,-0.12438113468641698
2023-12-13,0.02162484235661921
2024-03-12,0.11749762538181252
2024-06-12,0.13319347752035315
2024-09-10,0.11437558131252645
2024-09-16,0.051225100995423434
