Date,Return
1986-04-24,0.09957114944270429
1986-04-25,0.06299718887458039
1986-06-30,0.033611171276514806
1986-09-04,0.08333865801493334
1986-10-06,0.07965133197072305
1986-10-08,0.02811059644145586
1986-10-09,0.031248034441743844
1986-10-10,0.04546048623226229
1986-10-17,0.02856955080959045
1986-10-21,0.04137668704742037
1986-10-27,0.033339013432079234
1986-10-28,0.022579052877196748
1986-11-24,0.08021517025774916
1987-01-12,0.06465600003906768
1987-01-15,0.0541680486025633
1987-01-19,0.03643483562089811
1987-01-21,0.04230946275957592
1987-01-22,0.09963317664213811
1987-01-23,-0.09396128570233697
1987-01-27,0.040001705379786534
1987-01-29,-0.04181323175129348
1987-01-30,0.06363663375508422
1987-02-02,-0.0017093381059740675
1987-02-04,0.0034840671366880294
1987-02-12,0.06968588846941892
1987-02-19,-0.04181323175129348
1987-03-30,0.05449876361564021
1987-04-01,-0.05943360347559201
1987-05-07,0.04645978679042506
1987-05-08,0.06976787736531742
1987-06-11,-0.057970046997070424
1987-07-07,-0.074360110866726
1987-10-05,0.08965546715713701
1987-10-06,-0.06645502335084175
1987-10-16,-0.08155917826249215
1987-10-19,-0.30115892581388837
1987-10-20,0.06077279896358223
1987-10-21,0.17968825367357977
1987-10-22,-0.05960138469019394
1987-10-23,-0.09389876549796528
1987-10-26,-0.1865287444243332
1987-10-27,0.050955849278004006
1987-10-28,0.0
1987-10-29,0.15757638810499675
1987-10-30,0.041885134375447164
1987-11-02,0.010049612743869174
1987-11-03,-0.04477616401688711
1987-11-04,0.01562710246290533
1987-11-05,0.0358950613072575
1987-11-06,-0.05940510929489762
1987-11-09,-0.010525556865201846
1987-11-10,0.0
1987-11-11,0.042553469302483604
1987-11-12,0.020406845956348008
1987-11-13,-0.035000661325877314
1987-11-18,0.02673619529066129
1987-11-19,-0.0364559971082179
1987-12-03,-0.0823874902733489
1988-01-08,-0.0743801430123271
1988-07-26,-0.04132207310701175
1988-08-05,-0.036036330009884265
1989-03-07,-0.13709714819525243
1989-03-17,-0.09268251549577922
1989-03-20,0.0
1989-03-21,0.07257899806530443
1989-07-25,-0.05882494583351927
1989-10-04,0.09420303060477586
1989-10-05,0.04966750583619772
1990-01-18,0.08571364671370052
1990-05-21,0.02930321601508301
1990-05-23,0.0611878301741553
1990-07-26,-0.038462094814058045
1990-08-20,-0.07883904261438002
1991-02-06,0.04444444444444451
1991-06-19,-0.07286987274195034
1991-07-03,-0.060550787907783565
1992-01-08,0.03541679382324192
1992-04-15,0.10149579170422673
1992-04-20,-0.07443659197122843
1992-11-23,-0.06842105263157894
1993-07-30,-0.06329113924050633
1994-04-19,0.06174689603139116
1994-06-06,0.030732711794486667
1995-04-17,0.06724148454337286
1995-07-17,0.05186964511335557
1995-07-18,-0.065366902482619
1995-07-19,-0.07239270750509941
1996-01-09,-0.07028976661571562
1996-07-23,-0.06367425779211244
1997-04-18,0.0968152866242038
1998-06-23,0.05153294194390079
1998-06-24,0.04156327543424321
1999-07-16,0.05364238410596034
1999-12-15,0.09879670677644081
1999-12-16,0.04841498559077806
2000-03-23,0.08353510895883787
2000-04-03,-0.14470588235294113
2000-04-12,-0.05365126676602083
2000-04-14,-0.06466876971608837
2000-04-17,0.02360876897133224
2000-04-18,0.06177924217462927
2000-04-19,-0.023273855702094615
2000-04-20,0.003177124702144596
2000-04-24,-0.15597783056215364
2000-04-25,0.0412757973733584
2000-04-26,-0.01981981981981984
2000-04-27,0.026654411764705843
2000-04-28,-0.0008952551477170445
2000-05-01,0.05286738351254483
2000-05-02,-0.04851063829787239
2000-05-03,0.009838998211091132
2000-05-08,-0.018453427065026395
2000-05-09,-0.0286481647269472
2000-06-21,0.07673060884070049
2000-10-16,-0.06279069767441858
2000-10-19,0.19565217391304346
2000-10-20,0.05353535353535355
2000-10-23,-0.046979865771812124
2000-11-03,-0.029333333333333322
2000-11-08,-0.01507092198581561
2000-11-10,-0.04938271604938271
2000-11-14,0.03574788334901213
2000-11-15,0.01816530426884655
2000-11-30,-0.11815561959654175
2000-12-06,-0.05323590814196244
2000-12-07,-0.0628445424476296
2000-12-15,-0.11373873873873874
2000-12-18,-0.027954256670902122
2000-12-19,-0.06274509803921569
2000-12-20,-0.07391910739191077
2000-12-21,0.04668674698795172
2000-12-22,0.06906474820143882
2000-12-26,0.009421265141319024
2000-12-27,-0.009333333333333305
2000-12-28,-0.04037685060565277
2000-12-29,-0.02664796633941091
2001-01-02,0.0
2001-01-03,0.10518731988472618
2001-01-19,0.0990990990990992
2001-01-22,-0.014344262295082011
2001-01-23,0.007276507276507305
2001-01-24,0.03921568627450989
2001-01-31,-0.03648915187376722
2001-04-18,0.06424854899723664
2001-04-19,0.039889967876786114
